latitude,longitude,year,comment_message,likes
-37.8676,144.9806,2024,Brought my visiting relatives here and they were genuinely blown away,515
-37.8676,144.9806,2026,The palm-lined promenade has a relaxed energy unlike any other Melbourne suburb,497
-37.8676,144.9806,2025,"Art, music, and people come together to create a cultural hub",493
-37.8676,144.9806,2025,Watched a pod of dolphins from the pier which I still can't believe happened,432
-37.8676,144.9806,2023,"Art, music, and people come together to create a cultural hub",430
-37.8676,144.9806,2024,"Being here feels nostalgic, like revisiting an important part of my life",415
-37.8676,144.9806,2025,"This beach belongs to everyone in Melbourne equally, I love that about it",412
-37.8676,144.9806,2026,The food here connects deeply to cultural roots and history,394
-37.8676,144.9806,2025,I have vivid memories of spending weekends here with loved ones,372
-37.8676,144.9806,2024,Brought my visiting relatives here and they were genuinely blown away,352
-37.8676,144.9806,2025,This location has always been meaningful in my personal journey,327
-37.8676,144.9806,2026,Every meal here feels like experiencing a different culture,273
-37.8676,144.9806,2026,"I used to come here as a child, it holds a lot of personal memories",270
-37.8676,144.9806,2023,There's a timelessness here that survives every trend and redevelopment,262
-37.8676,144.9806,2024,The beach volleyball regulars here make it feel like a neighbourhood community,240
-37.8676,144.9806,2024,Tried a dish that reflected authentic heritage and family traditions,224
-37.8676,144.9806,2024,This place represents the multicultural identity of Melbourne,190
-37.8676,144.9806,2026,"This beach belongs to everyone in Melbourne equally, I love that about it",182
-37.8676,144.9806,2025,Every meal here feels like experiencing a different culture,143
-37.8676,144.9806,2026,This place represents the multicultural identity of Melbourne,63
-37.8676,144.9806,2024,Sunday afternoons here with live music drifting from the esplanade feel perfect,25
-37.843,144.993,2025,"I remember sharing traditional food here with friends, it felt like a celebration of culture",985
-37.843,144.993,2023,You can really feel the cultural diversity and artistic energy here,969
-37.843,144.993,2025,The neighbourhood has gentrified but the bohemian energy still survives,939
-37.843,144.993,2023,The mix of cultural cuisines here reminds me of Melbourne's diversity,939
-37.843,144.993,2026,The neighbourhood has gentrified but the bohemian energy still survives,921
-37.843,144.993,2026,The brunch culture on this street is taken very seriously and deservedly so,869
-37.843,144.993,2023,Spent an entire afternoon here just wandering without any particular destination,862
-37.843,144.993,2025,This location has always been meaningful in my personal journey,848
-37.843,144.993,2026,Love how independent businesses here still hold their own against chain stores,833
-37.843,144.993,2026,This place represents the multicultural identity of Melbourne,821
-37.843,144.993,2024,The mix of cultural cuisines here reminds me of Melbourne's diversity,777
-37.843,144.993,2026,Caught a live DJ set spilling out of a bar onto the footpath one Friday evening,701
-37.843,144.993,2023,I have vivid memories of spending weekends here with loved ones,691
-37.843,144.993,2026,Tried a dish that reflected authentic heritage and family traditions,677
-37.843,144.993,2026,Found an incredible independent bookshop tucked between two bars here,665
-37.843,144.993,2023,You can really feel the cultural diversity and artistic energy here,661
-37.843,144.993,2025,"I remember sharing traditional food here with friends, it felt like a celebration of culture",595
-37.843,144.993,2026,You can really feel the cultural diversity and artistic energy here,571
-37.843,144.993,2023,Caught a live DJ set spilling out of a bar onto the footpath one Friday evening,570
-37.843,144.993,2023,Every meal here feels like experiencing a different culture,515
-37.843,144.993,2023,This location has always been meaningful in my personal journey,514
-37.843,144.993,2025,Caught a live DJ set spilling out of a bar onto the footpath one Friday evening,448
-37.843,144.993,2023,Spent an entire afternoon here just wandering without any particular destination,433
-37.843,144.993,2024,"Being here feels nostalgic, like revisiting an important part of my life",430
-37.843,144.993,2026,You can really feel the cultural diversity and artistic energy here,414
-37.843,144.993,2026,The neighbourhood has gentrified but the bohemian energy still survives,379
-37.843,144.993,2023,Tried a dish that reflected authentic heritage and family traditions,358
-37.843,144.993,2023,Found an incredible independent bookshop tucked between two bars here,345
-37.843,144.993,2025,Love how independent businesses here still hold their own against chain stores,344
-37.843,144.993,2023,The food here connects deeply to cultural roots and history,342
-37.843,144.993,2023,Love how independent businesses here still hold their own against chain stores,326
-37.843,144.993,2023,The neighbourhood has gentrified but the bohemian energy still survives,306
-37.843,144.993,2023,This location has always been meaningful in my personal journey,296
-37.843,144.993,2026,I have vivid memories of spending weekends here with loved ones,292
-37.843,144.993,2026,I have vivid memories of spending weekends here with loved ones,250
-37.843,144.993,2026,I have vivid memories of spending weekends here with loved ones,231
-37.843,144.993,2024,This place reminds me of family gatherings and special moments,195
-37.843,144.993,2024,The food options have diversified enormously over the past decade,170
-37.843,144.993,2026,Found an incredible independent bookshop tucked between two bars here,155
-37.843,144.993,2025,Tried a dish that reflected authentic heritage and family traditions,122
-37.843,144.993,2026,Tried a dish that reflected authentic heritage and family traditions,69
-37.843,144.993,2024,There's an honest grit to parts of Chapel Street that keeps it feeling real,65
-37.843,144.993,2024,The food options have diversified enormously over the past decade,46
-37.843,144.993,2025,It's a place where different cultures blend seamlessly,37
-37.8304,144.9796,2025,Spotted a ring-tailed possum on a low branch during an evening stroll,980
-37.8304,144.9796,2023,Tried a dish that reflected authentic heritage and family traditions,942
-37.8304,144.9796,2024,Spotted a ring-tailed possum on a low branch during an evening stroll,923
-37.8304,144.9796,2026,Perfect place to bring a book and disappear from the city for an afternoon,915
-37.8304,144.9796,2025,The Indigenous plant walk taught me so much about Country and culture,900
-37.8304,144.9796,2023,Every season brings something entirely different to look forward to here,892
-37.8304,144.9796,2025,The ancient trees here make you feel small in the best possible way,877
-37.8304,144.9796,2023,"Families, joggers, tourists, and students all share this space beautifully",864
-37.8304,144.9796,2025,Every meal here feels like experiencing a different culture,858
-37.8304,144.9796,2026,My favourite lunch spot in all of Melbourne is a quiet bench near the fern gully,844
-37.8304,144.9796,2025,Walking through here is the fastest way to decompress after a stressful week,825
-37.8304,144.9796,2025,"I remember sharing traditional food here with friends, it felt like a celebration of culture",821
-37.8304,144.9796,2025,The Indigenous plant walk taught me so much about Country and culture,809
-37.8304,144.9796,2026,I have vivid memories of spending weekends here with loved ones,808
-37.8304,144.9796,2025,The gates open early and an early morning visit feels like private access,803
-37.8304,144.9796,2023,It's a place where different cultures blend seamlessly,785
-37.8304,144.9796,2024,"I remember sharing traditional food here with friends, it felt like a celebration of culture",767
-37.8304,144.9796,2023,The gardens at dusk when the light goes golden are genuinely breathtaking,729
-37.8304,144.9796,2023,The food here connects deeply to cultural roots and history,722
-37.8304,144.9796,2023,Walking through here is the fastest way to decompress after a stressful week,715
-37.8304,144.9796,2026,The café overlooks the lake and serves some of the best scones in town,697
-37.8304,144.9796,2026,"Being here feels nostalgic, like revisiting an important part of my life",696
-37.8304,144.9796,2023,Tried a dish that reflected authentic heritage and family traditions,688
-37.8304,144.9796,2024,The garden design feels like a curated journey through different ecosystems,603
-37.8304,144.9796,2023,The mix of cultural cuisines here reminds me of Melbourne's diversity,602
-37.8304,144.9796,2025,This place reminds me of family gatherings and special moments,580
-37.8304,144.9796,2024,There's a strong sense of community and cultural expression here,574
-37.8304,144.9796,2026,Spotted a ring-tailed possum on a low branch during an evening stroll,507
-37.8304,144.9796,2024,The garden design feels like a curated journey through different ecosystems,507
-37.8304,144.9796,2025,"I remember sharing traditional food here with friends, it felt like a celebration of culture",484
-37.8304,144.9796,2023,The mix of cultural cuisines here reminds me of Melbourne's diversity,415
-37.8304,144.9796,2023,The gardens at dusk when the light goes golden are genuinely breathtaking,395
-37.8304,144.9796,2023,It's a place where different cultures blend seamlessly,337
-37.8304,144.9796,2026,This place represents the multicultural identity of Melbourne,319
-37.8304,144.9796,2023,This place represents the multicultural identity of Melbourne,312
-37.8304,144.9796,2024,The cactus and succulent section is surprisingly fascinating,292
-37.8304,144.9796,2025,Every meal here feels like experiencing a different culture,218
-37.8304,144.9796,2025,Attended an outdoor cinema night here and it was absolutely magical,213
-37.8304,144.9796,2026,"I used to come here as a child, it holds a lot of personal memories",155
-37.8304,144.9796,2025,The mix of cultural cuisines here reminds me of Melbourne's diversity,127
-37.8304,144.9796,2025,"Families, joggers, tourists, and students all share this space beautifully",127
-37.8304,144.9796,2024,These gardens are a living archive of botanical history and research,113
-37.8304,144.9796,2025,I have vivid memories of spending weekends here with loved ones,78
-37.8304,144.9796,2023,"I used to come here as a child, it holds a lot of personal memories",75
-37.8304,144.9796,2026,This place reminds me that green space in a city is not a luxury but a necessity,46
-37.8304,144.9796,2024,This place reminds me that green space in a city is not a luxury but a necessity,34
-37.8304,144.9796,2026,"I used to come here as a child, it holds a lot of personal memories",34
-37.8206,144.9653,2025,You can really feel the cultural diversity and artistic energy here,919
-37.8206,144.9653,2026,Saturday evening crowds here have a relaxed festive energy that's hard not to love,903
-37.8206,144.9653,2025,Running along the promenade in the early morning when it's quiet is meditative,846
-37.8206,144.9653,2025,Every weekend market along here discovers a new way to bring people together,839
-37.8206,144.9653,2024,The food here connects deeply to cultural roots and history,828
-37.8206,144.9653,2024,The view of the CBD from the Southbank side of the Yarra is Melbourne at its best,819
-37.8206,144.9653,2025,This place reminds me of family gatherings and special moments,796
-37.8206,144.9653,2024,This location has always been meaningful in my personal journey,788
-37.8206,144.9653,2024,"I used to come here as a child, it holds a lot of personal memories",760
-37.8206,144.9653,2025,The Crown end of Southbank has a very different energy to the Arts Centre end,757
-37.8206,144.9653,2024,Caught a street performer here who held a crowd of two hundred people spellbound,739
-37.8206,144.9653,2026,Southbank has transformed from an industrial wasteland to Melbourne's cultural spine,711
-37.8206,144.9653,2025,"This promenade connects Melbourne's arts, food, and natural environment seamlessly",695
-37.8206,144.9653,2026,The mix of cultural cuisines here reminds me of Melbourne's diversity,693
-37.8206,144.9653,2024,The reflections of the city lights in the river at night are breathtaking,674
-37.8206,144.9653,2026,Love watching the tourist boats move slowly up the Yarra from a bench here,654
-37.8206,144.9653,2025,The mix of cultural cuisines here reminds me of Melbourne's diversity,638
-37.8206,144.9653,2026,"The mix of high-end dining, buskers, and families feels inclusive and right",636
-37.8206,144.9653,2023,The food here connects deeply to cultural roots and history,610
-37.8206,144.9653,2025,Tried a dish that reflected authentic heritage and family traditions,606
-37.8206,144.9653,2024,Brought my parents here from interstate and they finally understood why I love Melbourne,592
-37.8206,144.9653,2023,"This promenade connects Melbourne's arts, food, and natural environment seamlessly",581
-37.8206,144.9653,2023,This location has always been meaningful in my personal journey,573
-37.8206,144.9653,2023,This place represents the multicultural identity of Melbourne,565
-37.8206,144.9653,2023,It's a place where different cultures blend seamlessly,528
-37.8206,144.9653,2025,The Crown end of Southbank has a very different energy to the Arts Centre end,522
-37.8206,144.9653,2023,Brought my parents here from interstate and they finally understood why I love Melbourne,521
-37.8206,144.9653,2023,This location has always been meaningful in my personal journey,512
-37.8206,144.9653,2026,"I used to come here as a child, it holds a lot of personal memories",499
-37.8206,144.9653,2024,The pedestrian bridges give you different angles of the city at every turn,486
-37.8206,144.9653,2025,The mix of cultural cuisines here reminds me of Melbourne's diversity,455
-37.8206,144.9653,2024,Every weekend market along here discovers a new way to bring people together,414
-37.8206,144.9653,2023,"I used to come here as a child, it holds a lot of personal memories",406
-37.8206,144.9653,2025,I have vivid memories of spending weekends here with loved ones,377
-37.8206,144.9653,2024,Watched the Moomba fireworks from here and it was spectacular,363
-37.8206,144.9653,2024,"This promenade connects Melbourne's arts, food, and natural environment seamlessly",332
-37.8206,144.9653,2025,Brought my parents here from interstate and they finally understood why I love Melbourne,307
-37.8206,144.9653,2023,There's a strong sense of community and cultural expression here,282
-37.8206,144.9653,2024,The food here connects deeply to cultural roots and history,282
-37.8206,144.9653,2026,Tried a dish that reflected authentic heritage and family traditions,258
-37.8206,144.9653,2025,It's a place where different cultures blend seamlessly,252
-37.8206,144.9653,2026,The boardwalk sections over the water give you a sense of floating through the city,244
-37.8206,144.9653,2024,Watched the Moomba fireworks from here and it was spectacular,239
-37.8206,144.9653,2024,"I used to come here as a child, it holds a lot of personal memories",221
-37.8206,144.9653,2026,This is where Melbourne comes to celebrate on New Year's Eve without fail,215
-37.8206,144.9653,2026,"Art, music, and people come together to create a cultural hub",189
-37.8206,144.9653,2025,Every meal here feels like experiencing a different culture,167
-37.8206,144.9653,2026,Every weekend market along here discovers a new way to bring people together,144
-37.8206,144.9653,2026,The Arts Centre spire rising above the promenade makes for a perfect skyline,142
-37.8206,144.9653,2026,"I used to come here as a child, it holds a lot of personal memories",140
-37.8206,144.9653,2026,This place reminds me of family gatherings and special moments,138
-37.8206,144.9653,2023,This is where Melbourne comes to celebrate on New Year's Eve without fail,111
-37.8206,144.9653,2026,Running along the promenade in the early morning when it's quiet is meditative,85
-37.8206,144.9653,2026,Running along the promenade in the early morning when it's quiet is meditative,59
-37.8206,144.9653,2025,"I used to come here as a child, it holds a lot of personal memories",43
-37.818271,144.967061,2026,The dome and arched windows glow beautifully in the late afternoon light,996
-37.818271,144.967061,2026,"First time I arrived by train from the airport, this was my welcome to the city",992
-37.818271,144.967061,2026,"I used to come here as a child, it holds a lot of personal memories",977
-37.818271,144.967061,2025,There's something deeply Melbourne about catching a train from Flinders Street,976
-37.818271,144.967061,2025,"Being here feels nostalgic, like revisiting an important part of my life",963
-37.818271,144.967061,2026,The dome and arched windows glow beautifully in the late afternoon light,959
-37.818271,144.967061,2024,The mix of cultural cuisines here reminds me of Melbourne's diversity,941
-37.818271,144.967061,2025,Tried a dish that reflected authentic heritage and family traditions,926
-37.818271,144.967061,2025,"Even as a daily commuter, I still appreciate how beautiful this building is",909
-37.818271,144.967061,2024,Every meal here feels like experiencing a different culture,901
-37.818271,144.967061,2023,The heritage architecture makes every commute feel a little more grand,880
-37.818271,144.967061,2025,This station has seen generations of Melburnians come and go,862
-37.818271,144.967061,2026,Kids still press their noses against the glass looking at the train departures board,834
-37.818271,144.967061,2024,The dome and arched windows glow beautifully in the late afternoon light,807
-37.818271,144.967061,2023,There's a strong sense of community and cultural expression here,795
-37.818271,144.967061,2024,This location has always been meaningful in my personal journey,744
-37.818271,144.967061,2025,"Being here feels nostalgic, like revisiting an important part of my life",705
-37.818271,144.967061,2025,Every meal here feels like experiencing a different culture,693
-37.818271,144.967061,2023,This location has always been meaningful in my personal journey,688
-37.818271,144.967061,2025,The buskers here are some of the best musicians in the city,681
-37.818271,144.967061,2026,Sitting on the steps watching the trams go by is a Melbourne ritual,638
-37.818271,144.967061,2024,The buskers here are some of the best musicians in the city,631
-37.818271,144.967061,2023,Tried a dish that reflected authentic heritage and family traditions,557
-37.818271,144.967061,2023,There's something deeply Melbourne about catching a train from Flinders Street,497
-37.818271,144.967061,2025,"I used to come here as a child, it holds a lot of personal memories",485
-37.818271,144.967061,2024,It's a place where different cultures blend seamlessly,479
-37.818271,144.967061,2023,Meeting under the clocks is a Melbourne tradition I grew up with,469
-37.818271,144.967061,2025,Rushing through here during peak hour is chaotic but oddly thrilling,463
-37.818271,144.967061,2023,The dome and arched windows glow beautifully in the late afternoon light,456
-37.818271,144.967061,2026,The dome and arched windows glow beautifully in the late afternoon light,449
-37.818271,144.967061,2023,"I used to come here as a child, it holds a lot of personal memories",391
-37.818271,144.967061,2023,The station café has the best quick coffee before an early morning train,381
-37.818271,144.967061,2025,The food here connects deeply to cultural roots and history,353
-37.818271,144.967061,2026,The dome and arched windows glow beautifully in the late afternoon light,351
-37.818271,144.967061,2024,This location has always been meaningful in my personal journey,328
-37.818271,144.967061,2025,It's a place where different cultures blend seamlessly,325
-37.818271,144.967061,2026,"I proposed to my partner on the steps here, it felt right",317
-37.818271,144.967061,2024,"Even as a daily commuter, I still appreciate how beautiful this building is",294
-37.818271,144.967061,2023,Sitting on the steps watching the trams go by is a Melbourne ritual,292
-37.818271,144.967061,2023,It's a place where different cultures blend seamlessly,283
-37.818271,144.967061,2024,Watched the NYE fireworks from the bridge right beside the station,277
-37.818271,144.967061,2025,"Even as a daily commuter, I still appreciate how beautiful this building is",235
-37.818271,144.967061,2025,Watched the NYE fireworks from the bridge right beside the station,217
-37.818271,144.967061,2024,The ornate entrance always makes me slow down and appreciate it,203
-37.818271,144.967061,2025,A landmark that genuinely deserves its iconic status,197
-37.818271,144.967061,2026,You can really feel the cultural diversity and artistic energy here,179
-37.818271,144.967061,2025,"I proposed to my partner on the steps here, it felt right",142
-37.818271,144.967061,2026,"I proposed to my partner on the steps here, it felt right",125
-37.818271,144.967061,2026,"I remember sharing traditional food here with friends, it felt like a celebration of culture",115
-37.818271,144.967061,2023,A landmark that genuinely deserves its iconic status,104
-37.818271,144.967061,2024,"First time I arrived by train from the airport, this was my welcome to the city",88
-37.818271,144.967061,2024,This place represents the multicultural identity of Melbourne,57
-37.818271,144.967061,2024,Meeting under the clocks is a Melbourne tradition I grew up with,46
-37.818271,144.967061,2023,This station has seen generations of Melburnians come and go,22
-37.818271,144.967061,2025,The buskers here are some of the best musicians in the city,20
-37.818271,144.967061,2026,Meeting under the clocks is a Melbourne tradition I grew up with,6
-37.817979,144.969057,2023,Every meal here feels like experiencing a different culture,924
-37.817979,144.969057,2024,The galleries inside are hidden gems most tourists walk past,922
-37.817979,144.969057,2025,I love how this space welcomes everyone regardless of background,921
-37.817979,144.969057,2023,The galleries inside are hidden gems most tourists walk past,916
-37.817979,144.969057,2024,"Being here feels nostalgic, like revisiting an important part of my life",907
-37.817979,144.969057,2024,Tried a dish that reflected authentic heritage and family traditions,887
-37.817979,144.969057,2025,Every meal here feels like experiencing a different culture,875
-37.817979,144.969057,2023,The lighting at night transforms the whole space into something magical,862
-37.817979,144.969057,2026,The food here connects deeply to cultural roots and history,849
-37.817979,144.969057,2023,Watched a live broadcast here with thousands of strangers who felt like friends,843
-37.817979,144.969057,2026,The food here connects deeply to cultural roots and history,830
-37.817979,144.969057,2025,Caught a free outdoor film screening here on a warm summer evening,738
-37.817979,144.969057,2025,"I used to come here as a child, it holds a lot of personal memories",713
-37.817979,144.969057,2026,You can really feel the cultural diversity and artistic energy here,707
-37.817979,144.969057,2024,This is where Melbourne comes together to celebrate and grieve alike,655
-37.817979,144.969057,2023,Watched a live broadcast here with thousands of strangers who felt like friends,652
-37.817979,144.969057,2026,"Art, music, and people come together to create a cultural hub",544
-37.817979,144.969057,2023,The galleries inside are hidden gems most tourists walk past,535
-37.817979,144.969057,2025,The galleries inside are hidden gems most tourists walk past,530
-37.817979,144.969057,2023,Tried a dish that reflected authentic heritage and family traditions,511
-37.817979,144.969057,2025,Love the contrast between the edgy architecture and the classic Flinders church behind it,507
-37.817979,144.969057,2024,The Yarra River views from the edge of the square are stunning,501
-37.817979,144.969057,2024,The square feels alive even on quiet weekday mornings,476
-37.817979,144.969057,2026,There's a strong sense of community and cultural expression here,449
-37.817979,144.969057,2024,"Art, music, and people come together to create a cultural hub",436
-37.817979,144.969057,2026,The square feels alive even on quiet weekday mornings,402
-37.817979,144.969057,2026,Love the contrast between the edgy architecture and the classic Flinders church behind it,386
-37.817979,144.969057,2026,This place reminds me of family gatherings and special moments,386
-37.817979,144.969057,2023,The mix of cultural cuisines here reminds me of Melbourne's diversity,357
-37.817979,144.969057,2023,The galleries inside are hidden gems most tourists walk past,322
-37.817979,144.969057,2024,Met so many interesting people just sitting on the steps people-watching,317
-37.817979,144.969057,2025,Watched a live broadcast here with thousands of strangers who felt like friends,302
-37.817979,144.969057,2023,The galleries inside are hidden gems most tourists walk past,295
-37.817979,144.969057,2023,First night in Melbourne I wandered here and instantly felt welcome,271
-37.817979,144.969057,2025,It feels like the city's living room and I always come back,268
-37.817979,144.969057,2024,"Being here feels nostalgic, like revisiting an important part of my life",244
-37.817979,144.969057,2026,Federation Square is the beating heart of Melbourne's public life,207
-37.817979,144.969057,2024,Attended a cultural festival here that showcased over fifteen different communities,204
-37.817979,144.969057,2025,First night in Melbourne I wandered here and instantly felt welcome,171
-37.817979,144.969057,2026,The lighting at night transforms the whole space into something magical,165
-37.817979,144.969057,2023,"Art, music, and people come together to create a cultural hub",160
-37.817979,144.969057,2026,First night in Melbourne I wandered here and instantly felt welcome,153
-37.817979,144.969057,2025,Caught a free outdoor film screening here on a warm summer evening,145
-37.817979,144.969057,2026,The lighting at night transforms the whole space into something magical,136
-37.817979,144.969057,2024,It feels like the city's living room and I always come back,133
-37.817979,144.969057,2025,The Yarra River views from the edge of the square are stunning,118
-37.817979,144.969057,2023,The square feels alive even on quiet weekday mornings,112
-37.817979,144.969057,2024,It feels like the city's living room and I always come back,85
-37.817979,144.969057,2024,There's a strong sense of community and cultural expression here,71
-37.817979,144.969057,2025,The food here connects deeply to cultural roots and history,53
-37.817979,144.969057,2023,"Saw a protest, a wedding photo shoot, and a busker all in one afternoon here",44
-37.817979,144.969057,2026,First night in Melbourne I wandered here and instantly felt welcome,42
-37.817979,144.969057,2026,There's a strong sense of community and cultural expression here,41
-37.817979,144.969057,2023,The galleries inside are hidden gems most tourists walk past,8
-37.8163,144.969,2025,The food here connects deeply to cultural roots and history,985
-37.8163,144.969,2025,You can really feel the cultural diversity and artistic energy here,954
-37.8163,144.969,2024,There's a sense of democracy in street art that gallery culture can't always match,941
-37.8163,144.969,2023,Stumbled here on my first trip to Melbourne and it immediately became my favourite spot,922
-37.8163,144.969,2023,It's a place where different cultures blend seamlessly,891
-37.8163,144.969,2026,"Watched an artist work on a mural here for hours, totally transfixed",879
-37.8163,144.969,2023,I have vivid memories of spending weekends here with loved ones,875
-37.8163,144.969,2024,"Watched an artist work on a mural here for hours, totally transfixed",868
-37.8163,144.969,2025,The food here connects deeply to cultural roots and history,852
-37.8163,144.969,2025,There's an unwritten code of respect among the artists that keeps the space vibrant,826
-37.8163,144.969,2026,I have vivid memories of spending weekends here with loved ones,800
-37.8163,144.969,2024,"Art, music, and people come together to create a cultural hub",776
-37.8163,144.969,2023,"Being here feels nostalgic, like revisiting an important part of my life",773
-37.8163,144.969,2025,It's a place where different cultures blend seamlessly,766
-37.8163,144.969,2026,You can really feel the cultural diversity and artistic energy here,759
-37.8163,144.969,2025,The detail in some of these works rivals anything in a formal gallery,754
-37.8163,144.969,2024,Photography here is a favourite hobby for Melburnians and tourists alike,744
-37.8163,144.969,2023,"Being here feels nostalgic, like revisiting an important part of my life",728
-37.8163,144.969,2023,Returned six months later and the entire lane had been repainted fresh,720
-37.8163,144.969,2025,The detail in some of these works rivals anything in a formal gallery,708
-37.8163,144.969,2024,"Watched a couple have their wedding photos taken against the murals, it worked perfectly",707
-37.8163,144.969,2025,"Watched an artist work on a mural here for hours, totally transfixed",694
-37.8163,144.969,2026,Stumbled here on my first trip to Melbourne and it immediately became my favourite spot,641
-37.8163,144.969,2026,You can really feel the cultural diversity and artistic energy here,627
-37.8163,144.969,2024,The mix of cultural cuisines here reminds me of Melbourne's diversity,612
-37.8163,144.969,2024,The detail in some of these works rivals anything in a formal gallery,607
-37.8163,144.969,2025,There's a strong sense of community and cultural expression here,602
-37.8163,144.969,2023,Tried a dish that reflected authentic heritage and family traditions,564
-37.8163,144.969,2026,Returned six months later and the entire lane had been repainted fresh,519
-37.8163,144.969,2024,The detail in some of these works rivals anything in a formal gallery,514
-37.8163,144.969,2024,"Art, music, and people come together to create a cultural hub",478
-37.8163,144.969,2024,"Watched an artist work on a mural here for hours, totally transfixed",424
-37.8163,144.969,2024,This location has always been meaningful in my personal journey,423
-37.8163,144.969,2025,The cobblestones and layered walls give Hosier Lane a texture unlike anywhere else,418
-37.8163,144.969,2025,There's a strong sense of community and cultural expression here,417
-37.8163,144.969,2026,The street art here changes constantly and each visit feels completely new,404
-37.8163,144.969,2026,"Being here feels nostalgic, like revisiting an important part of my life",369
-37.8163,144.969,2026,The food here connects deeply to cultural roots and history,367
-37.8163,144.969,2026,This place represents the multicultural identity of Melbourne,312
-37.8163,144.969,2024,The detail in some of these works rivals anything in a formal gallery,304
-37.8163,144.969,2025,Brought an overseas friend here and they called it the most unique place they'd visited,291
-37.8163,144.969,2024,The cobblestones and layered walls give Hosier Lane a texture unlike anywhere else,282
-37.8163,144.969,2026,Stumbled here on my first trip to Melbourne and it immediately became my favourite spot,278
-37.8163,144.969,2025,"Being here feels nostalgic, like revisiting an important part of my life",249
-37.8163,144.969,2023,The street art here changes constantly and each visit feels completely new,232
-37.8163,144.969,2023,Kids react to this art with more wonder than anything in a traditional museum,221
-37.8163,144.969,2026,I have vivid memories of spending weekends here with loved ones,218
-37.8163,144.969,2025,You can really feel the cultural diversity and artistic energy here,217
-37.8163,144.969,2023,"The art is raw, confrontational, and deeply reflective of the city's mood",154
-37.8163,144.969,2025,The way natural light hits the walls at different times of day changes everything,148
-37.8163,144.969,2023,"I remember sharing traditional food here with friends, it felt like a celebration of culture",139
-37.8163,144.969,2023,The work ranges from political commentary to pure beauty and everything in between,123
-37.8163,144.969,2025,The food here connects deeply to cultural roots and history,90
-37.8163,144.969,2025,Kids react to this art with more wonder than anything in a traditional museum,90
-37.8163,144.969,2024,The detail in some of these works rivals anything in a formal gallery,72
-37.8163,144.969,2023,There's a strong sense of community and cultural expression here,65
-37.8163,144.969,2023,"I used to come here as a child, it holds a lot of personal memories",63
-37.8163,144.969,2023,This laneway is proof that public space can be genuinely transformative art,46
-37.8163,144.969,2023,Every meal here feels like experiencing a different culture,37
-37.8163,144.969,2026,Stumbled here on my first trip to Melbourne and it immediately became my favourite spot,9
-37.8102,144.9623,2026,Great spot to shelter from the rain and still feel like you're in the heart of the CBD,962
-37.8102,144.9623,2023,Spotted a live jazz performance in the atrium on a random Tuesday afternoon,962
-37.8102,144.9623,2023,The mix of cultural cuisines here reminds me of Melbourne's diversity,932
-37.8102,144.9623,2025,The history of this site layered on top of itself makes for fascinating reading,930
-37.8102,144.9623,2025,Meeting by the clock is the Melbourne Central version of the Flinders Street clocks,919
-37.8102,144.9623,2026,I come here more for the architecture than the shops honestly,885
-37.8102,144.9623,2024,This place reminds me of family gatherings and special moments,878
